Date;Injection RTE;Injection ELD;Production télérelevée à courbe de charge;Production profilée à index;Refoulement  ;Soutirage ELD  ;Consommation HTA  - Segments C1+C2+C3;Consommation BT > 36 - Segment C4;Consommation BT < 36 - Segment C5;Consommation BT < 36 - Segment C5 Profil Professionnel;Consommation BT < 36 - Segment C5 Profil Résidentiel;Pertes bouclantes normalisées;Date photo des données
2022-04;25486295.951;47986.399;5352775.269469666;492637.6414775937;2001943.657;254597.611;8660112.04564697;3568190.1511058263;14918580.68559665;3119375.0084219486;11799205.6771747;1976271.1059918585;2025-08-27 15:28:29
2022-08;21227773.764;32332.924;3885145.0509073334;607345.0791312238;1339544.921;199111.559;8530813.317663852;3449429.343805079;10892280.825303774;2683074.3768682014;8209206.448435573;1341416.8497670395;2025-08-27 15:28:29
2024-06;19318998.96;44184.771;4954760.951850417;351079.67792692676;1711888.234;174006.817;8157197.460881318;3001023.682416328;10280060.667265773;2401733.2297062986;7878327.437559473;1344847.5000790565;2025-10-11 08:05:59
2024-10;23026438.615;46720.007;4796657.888583;179498.1796864106;1818251.087;213699.66;8627847.63103911;3243361.349413631;12426394.896986129;2818020.331668602;9608374.565317526;1719760.0635767356;2025-10-11 08:05:59
2024-11;27571614.598;53037.424;5669204.834747333;110790.94504358809;2011524.282;275419.218;8426042.424856288;3634504.5062188157;16745400.262877913;3292648.359175726;13452751.903702188;2311757.1046804083;2025-10-11 08:05:59
2024-12;33530571.289;65901.187;6848486.14825075;78304.54411230961;2491835.593;350189.342;8557312.138452929;4199813.917632373;21916244.133778505;3942657.395695255;17973586.73808325;3007868.045062993;2025-10-11 08:05:59
2025-02;30303755.645;50113.362;5812179.352678;157273.25918032226;1645412.406;319684.96;8380165.528595615;3861162.448290802;19466064.63450349;3574046.595640074;15892018.038863417;2650831.6442685835;2025-12-10 08:02:25
2022-07;22278351.277;33999.862;4003988.6050573383;721156.0556156524;1259246.729;204125.427;9294986.030588731;3630967.97226183;11214063.54302098;2800016.0380783486;8414047.504942633;1434106.1008775996;2025-08-27 15:28:29
2022-09;21313982.802;32430.777;3751773.844;465036.8619278755;1344124.838;203112.317;8784558.39315029;3243222.0987977195;10616642.851364681;2649341.2920790915;7967301.55928559;1371563.7901402612;2025-08-27 15:28:29
2022-11;25611175.93;58078.548;6281761.914833333;203476.75274253398;2392111.418;270740.655;8481752.878528088;3550637.4092336623;15422952.666660925;3194889.6567503763;12228063.009910548;2036298.109489035;2025-08-27 15:28:29
2023-11;27063915.204;73382.581;7698901.339951;88593.0240934767;3362495.547;273730.993;8485753.248437863;3641466.411243834;16817422.22253723;3315978.576071984;13501443.646465247;2343923.72606541;2025-08-10 08:06:55
2024-01;35370304.421;73184.171;7284196.433728416;85258.73263752804;2530680.258;370654.843;9219075.974989953;4402107.895760423;23110634.74242923;4144566.511067728;18966068.2313615;3179790.0430626734;2025-10-11 08:05:59
2022-10;21812243.389;42377.244;4551299.623916667;330529.68826634594;1885794.299;215124.051;8574359.770100767;3180040.4378265967;11398981.413313998;2751933.604697329;8647047.80861667;1482149.9771788924;2025-08-27 15:28:29
2023-09;20389574.154;34492.452;4339254.932083333;257266.35638399288;1565936.011;185248.944;8576605.169860506;3142149.28911176;10229486.612623647;2528263.9120928813;7701222.7005307665;1321161.86430508;2025-08-10 08:06:55
2024-05;20442312.101;45824.434;5145722.746438417;327359.61033838533;1767422.659;189406.73;7961844.039711806;3023397.8552485346;11485465.017594807;2550441.907013524;8935023.110581283;1533682.5851787238;2025-10-11 08:05:59
2024-08;19845822.673;35770.535;4784066.795528667;380941.29490459966;1545832.034;177691.231;8051420.413335475;3235622.923598058;10693003.552930932;2557595.817447953;8135407.7354829805;1343031.1450917476;2025-10-11 08:05:59
2025-07;20345682.568;44286.045;6127885.44638525;483273.2148021108;2173275.305;180649.328;9031327.01826554;3436208.6300617945;10791022.040138556;2656712.4307569945;8134309.609381562;1388644.9550759667;2025-12-10 08:02:25
